name,photo_url
Riley Tiernan,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/10da6024c1af4c84bf37b25a641f0866
Maiara Carolina Niehues,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/13fe7126ee1343a1b20b3c118c2df756
Rajanah Reed,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/fallbacklogo.svg
Savy King,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/3803e24414b54df58dfb21fd3304ef62
Faith Nguyen,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/3bc0fbb6e9c548dca58f71d4b8a63665
Evelyn Shores,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/3fb7c0ab25ef4b3db335ad6f5afe4e10
Sarah Gorden,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/4314e1fbd3924a09a365af62abcdb3b4
Prisca Chilufya,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/44789b184b6840b7b707d62b996ad090
Sveindís Jónsdóttir,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/505cd006e0f24c0b8f03372edd6e033d
Hina Sugita,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/63930b6af7c94ec3bd5980802a154971
Casey Phair,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/6c46721d5109405395df45ddfd680316
Hannah Seabert,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/7fa746d5fcc64e3b827c740fb881e157
Jun Endo,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/8be53181b9fd46c4957f8cd6975a49f9
Sydney Leroux,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/8e0a1b9a4d43469b86adca8d94f57496
Ariadina Alves Borges,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/8f646310f20a489f84c92d5c4b831d1b
Sophia Mattice,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/c24469a7791a4b01afa7570b75bc4fa9
Taylor Suarez,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/cbb95e0c05e942a7a4f2f0907da9d2fc
Kennedy Fuller,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/d05274ce6faa42d48bec0325f29568e2
Karsyn Cherry,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/ddb5b884acb246c9879102de84c0d868
Angelina Anderson,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/e4c0dd7de1294525a9f1635b7e210792
Carina Lageyre,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/eefb8531af1342a496d4e65ba1257e37
Gisele Thompson,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/f737dfd0124341ddbdefdab7739f056f
Claire Emslie,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/fd08719793c4487c82b7d3aceba2ad0f
Nealy Martin,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/fdc322f486b94e3a9043aee47c3daf93
Emily Sams,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/ff16e70c73b943e38662bc6d895edb92
Alyssa Malonson,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/0647eef6fb274236a6776c40e84d6eb3
Racheal Kundananji,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/06897a454ecd4389a815a64dfb95ba2d
Heather Gilchrist,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/14d51f851eb543098599ef6686e97609
Abby Dahlkemper,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/1a484328c45c46be9c0591b43aa838a9
Aldana Cometti,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/fallbacklogo.svg
Caprice Dydasco,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/259bb40fadfb464c8402cc186f30b85d
Hannah Bebar,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/300fc21c88214cf191d546d1cf81d8ec
Cristiana Girelli,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/fallbacklogo.svg
Jamie Shepherd,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/31cb57cb8de1443d99cb20793354f1fe
Jordan Silkowitz,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/3a05f90ee4774e9e9cc460fef290f3c4
Sydney Collins,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/4ad3b3ad9d90407181d76c98bb47e17a
Maddie Moreau,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/4b281c71242c4738abb687a332286be0
Claire Hutton,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/51d52da9f6724e00a97ec29e7fe459dc
Emily Menges,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/77bd41e2c3954f40bc52b5efe805f890
Jordan Brewster,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/7faa87293bb743178194507021b7f326
Emmie Allen,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/963846c568d34a539e360dcd93046ebd
Tess Boade,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/ad338528a3ad42769bc70668109da114
Camryn Miller,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/fallbacklogo.svg
Onyeka Gamero,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/b66f7bcff55c49fcbadd2bd156e62c4f
Karlie Lema,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/c9e1f316ddb24fa680b4806d95e707c6
Brooklyn Courtnall,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/cee456c338e246a08218cf350ed0ba50
Keira Barry,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/dcc2564e748442b7a956fa4f8056ba87
Joelle Anderson,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/dd0a7a6f7ee5446e9ef8c0a20ed56e97
Anouk Denton,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/dead86b2fe8a4adc8ff4fb12d9111944
Alex Pfeiffer,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/e430381cd0da42f193b7801fc9f23009
Kelli Hubly,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/f9aafcad554041328a5420822e10d5a0
Dorian Bailey,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/fa5ea5a9ad7d4694b932641bbe257de1
Caroline Conti,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/fc271855025e4ff3a5bb2ff67c569709
Taylor Huff,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/fe7346f5616c46bb935320ed272de297
Jordan Nytes,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/01adaea2f8c14226a374de5a95b3273f
Ayo Oke,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/12f3080c7af74e8bb619ae361ba8593f
Nahikari García,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/1c53066f5b8247788639a789bad43d1f
Natalie Means,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/21b9db4547da430eb454d860966a8865
Ally Brazier,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/291911cc9bee4a458a8ae94f9b2a9c97
Janine Sonis,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/41bc212c8b704218a9bdd418e016cfe3
Camryn Biegalski,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/48fbfdd7f8004d3cb8bd7ef56db89b4c
Emma Regan,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/5c44cea6a05540639a949344419fa194
Lourdes Bosch,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/5fb4bbfd291143ebb531a00cb56cc9a5
Devin Lynch,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/6dbc458562f2406cb714ae051cf4d8c2
Carson Pickett,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/6f1a3b3b9e0447f0aaffa25a360d29ee
Kaleigh Kurtz,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/85399e003cd149ec991da7c3853143ad
Eva Gaetino,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/8860c67ac5c4405784acd0fccddc6ace
Meg Boade,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/8b9f8e68542640ecb93089255329acdb
Jasmine Aikey,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/97c6c3ae31c54d7c816afc2abb9bb8e0
Pauline Peyraud-Magnin,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/fallbacklogo.svg
Natasha Flint,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/a781ef1be91e49abb66b45cbd140e7c4
Megan Reid,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/bb2e756c53984f5ebf78cd343ec20b70
Abby Smith,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/c0076f9d59514192ab6a1107bfc8493a
Jordan Baggett,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/c8f867ab54e845239e4bf43547443cdc
Yazmeen Ryan,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/d814c62705514d3ab343c0798bb924ba
Olivia Thomas,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/eaa1ecbb20954389b35a972c41743b42
Delanie Sheehan,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/ec556416f45b48879e56409269f13dcb
Melissa Kössler,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/fallbacklogo.svg
Yuna McCormack,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/fc45d1c634f14b6e8e5ae61b7f34f421
Bianca St-Georges,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/0d2b0629ed6b43b8ae5e01f2d88fa515
Chloe Ricketts,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/15908c182dd94c57ae45736055f42e68
Laurel Ansbrow,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/16b5740bf4ff4fe1ae57b082ef35b27a
Hannah Stambaugh,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/2dd5ec59c3f2437889edf68c10fad31e
Alba Caño,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/38925931e59c4bb6ac8e7965e81ab06d
Laurel Ivory,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/3f534dc858514b2580d31c23e0241f37
Aïssata Traoré,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/463e97cd35e944de9f49f54da30fd8c7
Casey Murphy,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/572ca1acdb37419a843dafa8e828be66
Jorelyn Carabalí,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/5b3b23196eed4d9f900e4f3ab4d7113d
Annie Karich,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/fallbacklogo.svg
Amanda Gutierres dos Santos,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/7afe6ac6ae40499b833a0d383c0f47b1
Sammy Smith,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/80072c037c734d7eb4b7401b29bd575d
Amanda Allen,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/a0afe0dd22bc4b4eb895446288d523c8
Fauzia Najjemba,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/a1cb8dfb75ce4a89bdfe350de18b0410
Nichelle Prince,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/a58cdc45fc0448a28cbd965d9601aaf7
Andressa Karolaine Freire Gomes Ferreira,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/c35a5a4c76924bb9a960c3c64dcc8f02
Emerson Elgin,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/c8daea44150e40579e2c46716e16246e
Laís dos Santos Araújo,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/d0996c9d85fe48cfad90d75fbc26be45
Nicolette Hernández,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/fallbacklogo.svg
Josefine Hasbo,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/d554da063af949d9b11787c4c83bf7fc
Sophia Lowenberg,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/dc141c8f287a4bb48a803a250ba1fe3a
Aleigh Gambone,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/e9e4589be89b4dc4a5da3df021cffc4b
Ella Stevens,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/f0b65e91132d452792a90bd80e377f0f
Barbara Olivieri,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/fbe120b3952b43e4a95a632f285ffe38
Andrea Kitahata,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/091dffd7d5f244b291109607df38fbe0
Savannah McCaskill,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/169fa964031141e98831884983375011
Sofia Cook,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/1ead938145124f4bb3f98cc655a262b8
Emily Sonnett,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/266288af33ed4b378e529b0cb8957ecf
Kayla Duran,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/328fcb7c689147afb61f408326d6d1bf
Midge Purce,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/39fe0dbc3b0a49c0a46d405d30b7141d
Talia Sommer,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/412a04808d4b426f98c57acfa8b7a049
Jess Carter,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/68b02adc0cac4f9280733b42cd06ddc2
Khyah Harper,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/88284f038be14a6d8b643df2bc4c7d6d
Bruna Santos Nhaia,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/891ad63d168c42aebeaeaa7359ec1fb5
Lilly Reale,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/8c0148936e98403ca045b722790deea0
Jaelin Howell,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/95d2c552a83342bc947134ce8db57d56
Ryan Campbell,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/98465b941a5d4e2aaa2a013813ed82a5
Mak Whitham,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/a0b3cc966c05471caea2fced8abdb5cc
Jordynn Dudley,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/aca2fdf863f449bda03f5f46f28ed9f4
Teagan Wy,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/b6a0694762f84a9fa3f5a476d0db9f87
Ann-Katrin Berger,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/b7b10520cd77421e97f225c988f93e57
Taryn Torres,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/ba1bdfe55b8646738100a1f9c8b69e0d
Rose Lavelle,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/d1485dcbe6f34e4c9ba927371173260d
Jaedyn Shaw,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/d34c603875494308b83fc6a75c948837
Sarah Schupansky,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/d73ddb615f3149cfb6432c6f82b21ac9
Esther González,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/d8f389524b654b238b386797cb3b1216
Tierna Davidson,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/d9bb4ddad5e34f7b89ab4608dc8277d1
Shelby Hogan,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/d9f63636eae141b9a9fccd6533df3a2b
Mandy Freeman,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/f1674817643d4409ae98e3f26ec72dc4
Katie Lampson,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/fed95d382879402f971b73910f1a8e2a
Uno Shiragaki,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/fallbacklogo.svg
Carly Wickenheiser,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/fallbacklogo.svg
Lauryn Thompson,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/22fe350a7bf44f1f8e008c44d92b45f9
Shinomi Koyama,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/23fbf942a9564991bb975594e94b02d7
Ivy Younce,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/fallbacklogo.svg
Natalia Staude,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/3d88359f24cc42609f3402ab4c856674
Dani Weatherholt,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/405bbcc7f91848b4a28e72f45ffb7d55
Maycee Bell,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/55bd66bfbc3240c7acf59ca32209868c
Sydney Schmidt,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/6a0f8138983847b9b9b165b4d961ba81
Olivia Wingate,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/75dd90b34f884be794d7d0a24f71d8d8
Madison White,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/76946e8d1a40476cb7874e813358910c
Kailen Sheridan,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/7a3d8828fb0941f88dd72a728f9f61e4
Ryan Williams,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/81f566b89fa04830b4b1657453e4f818
