Team,Primary,Text
Indiana Hoosiers,#EEEDEB,#990000
Illinois Fighting Illini,#13294b,#E84A27
Iowa Hawkeyes,#000000,#FFCD00
Maryland Terrapins,#ffd520,#E03a3e
Michigan Wolverines,#00274c,#ffcb05
Michigan State Spartans,#FFFFFF,#18453B
Minnesota Golden Gophers,#7A0019,#FFCC33
Nebraska Cornhuskers,#fdf2d9,#e41c38
Northwestern Wildcats,#FFFFFF,#4E2A84
Ohio State Buckeyes,#FFFFFF,#BB0000
Penn State Nittany Lions,#FFFFFF,#041E42
Purdue Boilermakers,#ceb888,#000000
Rutgers Scarlet Knights,#cc0033,#000000
Wisconsin Badgers,#ffffff,#c5050c
Orlando Pride,#000000,#61259E
Angel City FC,#898C8F,#F1B1A5
Bay FC,#DFDEDE,#0D2032
Chicago Stars FC,#3AB5E8,#102B45
Houston Dash,#FF6900,#101820
Kansas City Current,#CF3339,#081F2C
Gotham FC,#FFFFFF,#A9F1FD
North Carolina Courage,#00416B,#B4A269
Thorns FC,#000000,#99242B
Racing Louisville FC,#C5B5F2,#14002F
San Diego Wave FC,#21C6D9,#032E62
Seattle Reign FC,#2E407A,#D0A66B
Utah Royals,#0E1735,#FDB71A
Washington Spirit,#BBBBBB,#000000